event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle
1,1,3,10,CHN,5,ZHANG M,Take-out,Clockwise,50,bottom,1,1,-0.13,2.777,2.78,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.811,-0.682,1.06,-139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,11,CAN,6,THURSTON J,Draw,Clockwise,0,bottom,1,1,-0.132,2.775,2.778,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.817,-0.681,1.064,-140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,12,CHN,5,ZHANG M,Take-out,Counter-clockwise,100,bottom,2,0,-0.772,-0.514,0.928,-146.3,-0.134,2.77,2.773,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,13,CAN,8,IDESON M,Take-out,Counter-clockwise,100,bottom,1,1,-0.131,2.778,2.781,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.425,1.179,-158.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,14,CHN,7,WANG H,Take-out,Counter-clockwise,100,bottom,2,0,-1.061,-0.257,1.091,-166.4,-0.136,2.786,2.789,92.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,15,CAN,8,IDESON M,Take-out,Counter-clockwise,100,bottom,1,1,-0.126,2.768,2.771,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.862,0.862,-88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3,16,CHN,7,WANG H,Clearing,Counter-clockwise,50,bottom,2,0,0.014,-0.674,0.674,-88.8,-0.123,2.78,2.783,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,1,CHN,1,LI N,Draw,Clockwise,100,top,1,0,0.05,0.268,0.273,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,2,CAN,2,JOSEPH C,Take-out,Clockwise,100,top,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.542,0.099,0.55,169.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,3,CHN,1,LI N,Take-out,Clockwise,100,top,1,0,0.361,-0.194,0.41,-28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
