event_id,event_name,year,location,gender,pdf_file,has_time_data
107,World Women's Curling Championship 2022,2022,"Prince George, BC, Canada",w,WWCC2022_ResultsBook.pdf,True
108,Paralympic Winter Games 2022,2022,"Beijing, China",,PWG2022_ResultsBook.pdf,True
109,Olympic Winter Games 2022,2022,"Beijing, China",,OWG2022_ResultsBook.pdf,True
110,World Qualification Event 2022,2022,"Lohja, Finland",m,WQE2022_ResultsBook_Men.pdf,False
111,World Qualification Event 2022,2022,"Lohja, Finland",w,WQE2022_ResultsBook_Women.pdf,False
112,Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",mxd,OQE2021_ResultsBook_MixedDoubles.pdf,True
113,Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",m,OQE2021_ResultsBook_Men.pdf,True
114,Olympic Qualification Event 2021,2021,"Leeuwarden, Netherlands",w,OQE2021_ResultsBook_Women.pdf,True
115,European Curling Championships 2021 A-Division,2021,"Lillehammer, Norway",m,ECC2021_ResultsBook_Men_A-Division.pdf,True
116,European Curling Championships 2021 A-Division,2021,"Lillehammer, Norway",w,ECC2021_ResultsBook_Women_A-Division.pdf,True
117,European Curling Championships 2021 B-Division,2021,"Lillehammer, Norway",m,ECC2021_ResultsBook_Men_B-Division.pdf,False
118,European Curling Championships 2021 B-Division,2021,"Lillehammer, Norway",w,ECC2021_ResultsBook_Women_B-Division.pdf,False
119,Pacific-Asia Curling Championships 2021,2021,"Almaty, Kazakhstan",m,PACC2021_ResultsBook_Men.pdf,False
120,Pacific-Asia Curling Championships 2021,2021,"Almaty, Kazakhstan",w,PACC2021_ResultsBook_Women.pdf,False
121,World Wheelchair Curling Championship 2021,2021,"Beijing, China",,WWhCC2021_ResultsBook.pdf,True
122,Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",mxd,PRE-OQE2021_ResultsBook_MixedDoubles.pdf,False
123,Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",m,PRE-OQE2021_ResultsBook_Men.pdf,False
124,Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",w,PRE-OQE2021_ResultsBook_Women.pdf?v=2,False
125,European Curling Championships 2021 C-Division,2021,"Geneva, Switzerland",m,ECCC2021_ResultsBook_Men.pdf,False
126,European Curling Championships 2021 C-Division,2021,"Geneva, Switzerland",w,ECCC2021_ResultsBook_Women.pdf,False
127,World Mixed Doubles Curling Championship 2021,2021,"Aberdeen, Scotland",mxd,WMDCC2021_ResultsBook.pdf,True
128,World Women's Curling Championship 2021,2021,"Calgary, AB, Canada",w,WWCC2021_ResultsBook.pdf,True
129,World Men's Curling Championship 2021,2021,"Calgary, AB, Canada",m,WMCC2021_ResultsBook.pdf,True
130,World Wheelchair-B Curling Championship 2020/2021,2020,"Lohja, Finland",,WWhBCC2020_ResultsBook.pdf,False
131,World Wheelchair Curling Championship 2020,2020,"Wetzikon, Switzerland",,WWhCC2020_ResultsBook.pdf,False
132,World Junior Curling Championships 2020,2020,"Krasnoyarsk, Russia",m,WJCC2020_ResultsBook_Men.pdf,True
133,World Junior Curling Championships 2020,2020,"Krasnoyarsk, Russia",w,WJCC2020_ResultsBook_Women.pdf,True
134,World Qualification Event 2020,2020,"Lohja, Finland",m,WQE2020_ResultsBook_Men.pdf,False
135,World Qualification Event 2020,2020,"Lohja, Finland",w,WQE2020_ResultsBook_Women.pdf,False
136,Winter Youth Olympic Games 2020,2020,"Lausanne/Champery, Switzerland",,YOG2020_Resultsbook.pdf,False
137,World Junior-B Curling Championships 2019-20,2019,"Lohja, Finland",m,WJBCC2019-2020_ResultsBook_Men.pdf,False
138,World Junior-B Curling Championships 2019-20,2019,"Lohja, Finland",w,WJBCC2019-2020_ResultsBook_Women.pdf,False
139,World Mixed Doubles Qualification Event 2019,2019,"Greenacres, Scotland",mxd,WMDQE2019_ResultsBook.pdf,False
140,World Wheelchair-B Curling Championship 2019,2019,"Lohja, Finland",,WWhBCC2019_ResultsBook.pdf,False
141,European Curling Championships 2019 A-Division,2019,"Helsingborg, Sweden",m,ECC2019_ResultsBook_Men_A-Division.pdf,True
142,European Curling Championships 2019 A-Division,2019,"Helsingborg, Sweden",w,ECC2019_ResultsBook_Women_A-Division.pdf,True
143,European Curling Championships 2019 B-Division,2019,"Helsingborg, Sweden",m,ECC2019_ResultsBook_Men_B-Division.pdf,False
144,European Curling Championships 2019 B-Division,2019,"Helsingborg, Sweden",w,ECC2019_ResultsBook_Women_B-Division.pdf,False
145,Pacific-Asia Curling Championships 2019,2019,"Shenzhen, China",m,PACC2019_ResultsBook_Men.pdf,True
146,Pacific-Asia Curling Championships 2019,2019,"Shenzhen, China",w,PACC2019_ResultsBook_Women.pdf,True
147,World Mixed Curling Championship 2019,2019,"Aberdeen, Scotland",mx,WMxCC2019_ResultsBook.pdf,False
148,Curling World Cup 2018/19 Grand Final,2018,"Beijing, China",,CWC2018-19_Final_ResultsBook.pdf,False
149,World Mixed Doubles Curling Championship 2019,2019,"Stavanger, Norway",mxd,WMDCC2019_ResultsBook.pdf,True
150,World Senior Curling Championships 2019,2019,"Stavanger, Norway",m,WSCC2019_ResultsBook_Men.pdf,False
151,World Senior Curling Championships 2019,2019,"Stavanger, Norway",w,WSCC2019_ResultsBook_Women.pdf,False
152,European Curling Championships 2019 C-Division,2019,"Brasov, Romania",m,ECCC2019_ResultsBook_Men.pdf,False
153,European Curling Championships 2019 C-Division,2019,"Brasov, Romania",w,ECCC2019_ResultsBook_Women.pdf,False
154,World Men's Curling Championship 2019,2019,"Lethbridge, AB, Canada",m,WMCC2019_ResultsBook.pdf,True
155,World Women's Curling Championship 2019,2019,"Silkeborg, Denmark",w,WWCC2019_ResultsBook.pdf,True
156,World Wheelchair Curling Championship 2019,2019,"Stirling, Scotland",,WWhCC2019_ResultsBook.pdf,False
157,Winter Universiade 2019,2019,"Krasnoyarsk, Russia",,WUNI2019_ResultsBook.pdf,False
158,World Junior Curling Championships 2019,2019,"Liverpool, NS, Canada",m,WJCC2019_ResultsBook_Men.pdf,True
159,World Junior Curling Championships 2019,2019,"Liverpool, NS, Canada",w,WJCC2019_ResultsBook_Women.pdf,True
160,European Youth Olympic Festival 2019,2019,"Sarajevo and East Sarajevo, BIH",,EYOF2019_ResultsBook.pdf,False
161,Curling World Cup 2018/19 Leg 3,2018,"Jonkoping, Sweden",,CWC2018-19_Leg3_ResultsBook.pdf,False
162,World Qualification Event 2019,2019,"Naseby, New Zealand",m,WQE2019_ResultsBook_Men.pdf,False
163,World Qualification Event 2019,2019,"Naseby, New Zealand",w,WQE2019_ResultsBook_Women.pdf,False
164,World Junior-B Curling Championships 2019,2019,"Lohja, Finland",m,WJBCC2019_ResultsBook_Men.pdf,False
165,World Junior-B Curling Championships 2019,2019,"Lohja, Finland",w,WJBCC2019_ResultsBook_Women.pdf,False
166,Curling World Cup 2018/19 Leg 2,2018,"Omaha, NE, United States",,CWC2018-19_Leg2_ResultsBook.pdf,False
167,European Curling Championships 2018 A-Division,2018,"Tallinn, Estonia",m,ECC2018_ResultsBook_Men_A-Division.pdf,True
168,European Curling Championships 2018 A-Division,2018,"Tallinn, Estonia",w,ECC2018_ResultsBook_Women_A-Division.pdf,True
169,European Curling Championships 2018 B-Division,2018,"Tallinn, Estonia",m,ECC2018_ResultsBook_Men_B-Division.pdf,False
170,European Curling Championships 2018 B-Division,2018,"Tallinn, Estonia",w,ECC2018_ResultsBook_Women_B-Division.pdf,False
171,World Wheelchair-B Curling Championship 2018,2018,"Lohja, Finland",,WWhBCC2018_ResultsBook.pdf,False
172,Pacific-Asia Curling Championships 2018,2018,"Gangneung, Republic of Korea",m,PACC2018_ResultsBook_Men.pdf,True
173,Pacific-Asia Curling Championships 2018,2018,"Gangneung, Republic of Korea",w,PACC2018_ResultsBook_Women.pdf,True
174,World Mixed Curling Championship 2018,2018,"Kelowna, BC, Canada",mx,WMxCC2018_ResultsBook.pdf,False
175,Curling World Cup 2018/19 Leg 1,2018,"Suzhou, China",,CWC2018-19_Leg1_ResultsBook.pdf,False
176,World Mixed Doubles Curling Championship 2018,2018,"Östersund, Sweden",mxd,WMDCC2018_ResultsBook.pdf,True
177,World Senior Curling Championships 2018,2018,"Östersund, Sweden",m,WSCC2018_ResultsBook_Men.pdf,False
178,World Senior Curling Championships 2018,2018,"Östersund, Sweden",w,WSCC2018_ResultsBook_Women.pdf,False
179,European Curling Championships 2018 C-Division,2018,"Taarnby (Copenhagen), Denmark",m,ECCC2018_ResultsBook_Men.pdf,False
180,European Curling Championships 2018 C-Division,2018,"Taarnby (Copenhagen), Denmark",w,ECCC2018_ResultsBook_Women.pdf,False
181,World Men's Curling Championship 2018,2018,"Las Vegas, NV, United States",m,WMCC2018_ResultsBook.pdf,True
182,World Women's Curling Championship 2018,2018,"North Bay, ON, Canada",w,WWCC2018_ResultsBook.pdf,True
183,Paralympic Winter Games 2018,2018,"PyeongChang, Republic of Korea",,PWG2018_ResultsBook.pdf,True
