match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle
1,3,2,SUI,2,LACHAT-COUCHEPIN P,Front,Counter-clockwise,100,1,1,-0.69,2.68,2.767,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,1.445,1.45,85.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,SWE,1,SUNDGREN C,Raise,Counter-clockwise,100,1,2,-0.681,2.68,2.765,104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.455,0.461,81.2,0.084,1.663,1.665,87.1,,,,,,,,,,,,,,,,,,,,,,,,
1,3,4,SUI,2,LACHAT-COUCHEPIN P,Draw,Counter-clockwise,100,2,2,-0.618,0.113,0.628,169.7,-0.69,2.68,2.767,104.4,,,,,,,,,,,,,,,,,,,,,,,,,0.067,0.455,0.46,81.6,0.079,1.663,1.665,87.3,,,,,,,,,,,,,,,,,,,,,,,,
1,3,5,SWE,3,WRANAA R,Take-out,Counter-clockwise,100,2,3,-0.624,0.107,0.633,170.3,-0.681,2.68,2.765,104.3,,,,,,,,,,,,,,,,,,,,,,,,,-0.315,0.19,0.368,148.8,0.07,0.455,0.461,81.2,0.084,1.663,1.665,87.1,,,,,,,,,,,,,,,,,,,,
1,3,6,SUI,4,MICHEL S,Double Take-out,Counter-clockwise,100,2,1,0.461,1.584,1.65,73.8,-0.679,2.68,2.764,104.2,,,,,,,,,,,,,,,,,,,,,,,,,-0.327,0.079,0.337,166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,7,SWE,3,WRANAA R,Double Take-out,Counter-clockwise,50,3,1,0.331,0.539,0.633,58.4,0.455,1.579,1.643,73.9,-0.682,2.68,2.765,104.3,,,,,,,,,,,,,,,,,,,,,-0.331,0.079,0.341,166.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,8,SUI,4,MICHEL S,Guard,Clockwise,75,2,1,0.324,0.539,0.629,59.0,0.202,1.959,1.97,84.1,,,,,,,,,,,,,,,,,,,,,,,,,-0.339,0.079,0.348,166.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,9,SWE,5,ERIKSSON O,Double Take-out,Counter-clockwise,100,2,2,0.331,0.534,0.628,58.2,0.197,1.959,1.968,84.3,,,,,,,,,,,,,,,,,,,,,,,,,-0.331,0.079,0.341,166.7,-0.531,1.719,1.799,107.2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,10,SUI,6,SCHWALLER Y,Take-out,Counter-clockwise,100,1,1,0.573,-0.438,0.722,-37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.539,1.719,1.802,107.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,11,SWE,5,ERIKSSON O,Take-out,Counter-clockwise,100,1,2,0.577,-0.444,0.728,-37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,-0.225,0.613,-21.5,-0.531,1.719,1.799,107.2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,12,SUI,6,SCHWALLER Y,Take-out,Counter-clockwise,100,1,1,0.45,-0.045,0.452,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.528,1.719,1.798,107.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,13,SWE,7,EDIN N,Take-out,Counter-clockwise,100,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427,0.147,0.451,19.0,-0.531,1.719,1.799,107.2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,14,SUI,8,SCHWARZ-VAN BERKEL,Take-out,Counter-clockwise,100,1,1,0.702,0.247,0.744,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.539,1.719,1.802,107.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,15,SWE,7,EDIN N,Hit and Roll,Counter-clockwise,75,1,2,0.707,0.242,0.747,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,0.006,0.034,170.6,-0.531,1.719,1.799,107.2,,,,,,,,,,,,,,,,,,,,,,,,
1,3,16,SUI,8,SCHWARZ-VAN BERKEL,Clearing,Counter-clockwise,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.539,1.719,1.802,107.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,SWE,1,SUNDGREN C,Draw,Counter-clockwise,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017,3.157,3.157,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,SUI,2,LACHAT-COUCHEPIN P,Front,Clockwise,100,1,1,-0.655,1.155,1.328,119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,3.157,3.157,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,SWE,1,SUNDGREN C,Guard,Counter-clockwise,100,1,2,-0.652,1.155,1.326,119.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,1.708,1.708,91.1,-0.017,3.157,3.157,90.3,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,SUI,2,LACHAT-COUCHEPIN P,Draw,Clockwise,100,2,2,-0.655,1.155,1.328,119.6,0.079,2.786,2.787,88.4,,,,,,,,,,,,,,,,,,,,,,,,,-0.045,1.708,1.708,91.5,-0.027,3.157,3.157,90.5,,,,,,,,,,,,,,,,,,,,,,,,
1,4,5,SWE,3,WRANAA R,Promotion Take-out,Counter-clockwise,75,2,2,-0.652,1.155,1.326,119.4,0.078,2.781,2.782,88.4,,,,,,,,,,,,,,,,,,,,,,,,,-0.152,1.494,1.502,95.8,0.045,2.568,2.569,89.0,,,,,,,,,,,,,,,,,,,,,,,,
1,4,6,SUI,4,MICHEL S,Take-out,Clockwise,100,2,1,-0.644,1.155,1.322,119.1,0.978,3.023,3.177,72.1,,,,,,,,,,,,,,,,,,,,,,,,,-0.142,1.494,1.501,95.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,7,SWE,3,WRANAA R,Take-out,Clockwise,100,2,2,-0.652,1.155,1.326,119.4,0.972,3.017,3.17,72.1,,,,,,,,,,,,,,,,,,,,,,,,,-0.152,1.494,1.502,95.8,0.798,2.854,2.964,74.4,,,,,,,,,,,,,,,,,,,,,,,,
1,4,8,SUI,4,MICHEL S,Draw,Counter-clockwise,100,2,2,-0.655,1.155,1.328,119.6,-0.764,3.186,3.276,103.5,,,,,,,,,,,,,,,,,,,,,,,,,-0.153,1.494,1.502,95.9,0.787,2.854,2.961,74.6,,,,,,,,,,,,,,,,,,,,,,,,
1,4,9,SWE,5,ERIKSSON O,Double Take-out,Counter-clockwise,100,3,3,-0.657,1.147,1.322,119.8,-0.77,3.186,3.277,103.6,-1.607,3.292,3.663,116.0,,,,,,,,,,,,,,,,,,,,,-0.545,0.956,1.101,119.7,-0.152,1.494,1.502,95.8,0.798,2.854,2.964,74.4,,,,,,,,,,,,,,,,,,,,
1,4,10,SUI,6,SCHWALLER Y,Draw,Counter-clockwise,100,2,3,-0.596,3.023,3.081,101.1,-1.607,3.292,3.663,116.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,0.956,1.103,119.9,-0.153,1.494,1.502,95.9,0.787,2.854,2.961,74.6,,,,,,,,,,,,,,,,,,,,
1,4,11,SWE,5,ERIKSSON O,Promotion Take-out,Counter-clockwise,100,2,4,-0.601,3.017,3.076,101.3,-1.607,3.292,3.663,116.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.578,0.753,0.949,127.5,-0.152,1.494,1.502,95.8,-0.23,2.944,2.953,94.5,0.798,2.854,2.964,74.4,,,,,,,,,,,,,,,,
