event_id,match_id,end_number,shot_number,team_code,player_id,player_name,shot_type,turn,accuracy,house_orientation,team1_stones_in_play,team2_stones_in_play,team1_stone1_x,team1_stone1_y,team1_stone1_dist,team1_stone1_angle,team1_stone1_id,team1_stone1_prev_x,team1_stone1_prev_y,team1_stone2_x,team1_stone2_y,team1_stone2_dist,team1_stone2_angle,team1_stone2_id,team1_stone2_prev_x,team1_stone2_prev_y,team1_stone3_x,team1_stone3_y,team1_stone3_dist,team1_stone3_angle,team1_stone3_id,team1_stone3_prev_x,team1_stone3_prev_y,team1_stone4_x,team1_stone4_y,team1_stone4_dist,team1_stone4_angle,team1_stone4_id,team1_stone4_prev_x,team1_stone4_prev_y,team1_stone5_x,team1_stone5_y,team1_stone5_dist,team1_stone5_angle,team1_stone5_id,team1_stone5_prev_x,team1_stone5_prev_y,team1_stone6_x,team1_stone6_y,team1_stone6_dist,team1_stone6_angle,team1_stone6_id,team1_stone6_prev_x,team1_stone6_prev_y,team1_stone7_x,team1_stone7_y,team1_stone7_dist,team1_stone7_angle,team1_stone7_id,team1_stone7_prev_x,team1_stone7_prev_y,team1_stone8_x,team1_stone8_y,team1_stone8_dist,team1_stone8_angle,team1_stone8_id,team1_stone8_prev_x,team1_stone8_prev_y,team2_stone1_x,team2_stone1_y,team2_stone1_dist,team2_stone1_angle,team2_stone1_id,team2_stone1_prev_x,team2_stone1_prev_y,team2_stone2_x,team2_stone2_y,team2_stone2_dist,team2_stone2_angle,team2_stone2_id,team2_stone2_prev_x,team2_stone2_prev_y,team2_stone3_x,team2_stone3_y,team2_stone3_dist,team2_stone3_angle,team2_stone3_id,team2_stone3_prev_x,team2_stone3_prev_y,team2_stone4_x,team2_stone4_y,team2_stone4_dist,team2_stone4_angle,team2_stone4_id,team2_stone4_prev_x,team2_stone4_prev_y,team2_stone5_x,team2_stone5_y,team2_stone5_dist,team2_stone5_angle,team2_stone5_id,team2_stone5_prev_x,team2_stone5_prev_y,team2_stone6_x,team2_stone6_y,team2_stone6_dist,team2_stone6_angle,team2_stone6_id,team2_stone6_prev_x,team2_stone6_prev_y,team2_stone7_x,team2_stone7_y,team2_stone7_dist,team2_stone7_angle,team2_stone7_id,team2_stone7_prev_x,team2_stone7_prev_y,team2_stone8_x,team2_stone8_y,team2_stone8_dist,team2_stone8_angle,team2_stone8_id,team2_stone8_prev_x,team2_stone8_prev_y
1,1,2,5,SWE,4,KNOCHENHAUER A,Hit and Roll,Counter-clockwise,75,top,1,2,-0.73,1.938,2.071,110.7,2,-0.732,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.331,-0.276,0.43,-140.2,5,,,0.026,2.244,2.244,89.3,1,0.018,2.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,6,SUI,3,HOWALD C,Hit and Roll,Counter-clockwise,50,top,2,1,1.056,-1.232,1.623,-49.4,6,,,-0.732,1.938,2.071,110.7,2,-0.73,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.243,2.244,89.5,1,0.026,2.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,7,SWE,4,KNOCHENHAUER A,Draw,Counter-clockwise,75,top,2,2,1.063,-1.232,1.627,-49.2,6,1.056,-1.232,-0.73,1.936,2.069,110.7,2,-0.732,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,2.237,2.237,89.3,1,0.018,2.243,-0.1,0.487,0.497,101.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,8,SUI,3,HOWALD C,Hit and Roll,Clockwise,75,top,3,1,1.055,-1.232,1.622,-49.4,6,1.063,-1.232,-0.112,0.683,0.692,99.3,8,,,-0.732,1.936,2.07,110.7,2,-0.73,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.237,2.237,89.5,1,0.026,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,9,SWE,6,McMANUS S,Hit and Roll,Clockwise,75,top,2,2,1.063,-1.223,1.62,-49.0,6,1.055,-1.232,-0.73,1.945,2.077,110.6,2,-0.732,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,2.246,2.246,89.3,1,0.018,2.237,-0.106,0.853,0.859,97.1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,10,SUI,5,TIRINZONI S,Hit and Roll,Clockwise,75,top,2,1,-0.732,1.936,2.07,110.7,2,-0.73,1.945,-1.192,0.044,1.193,177.9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.237,2.237,89.5,1,0.026,2.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,11,SWE,6,McMANUS S,Take-out,Clockwise,50,top,1,1,-0.73,1.936,2.069,110.7,2,-0.732,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,2.237,2.237,89.3,1,0.018,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,12,SUI,5,TIRINZONI S,Draw,Counter-clockwise,75,top,2,1,-0.737,-0.535,0.911,-144.0,11,,,-0.732,1.927,2.061,110.8,2,-0.73,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.228,2.228,89.5,1,0.026,2.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,13,SWE,8,HASSELBORG A,Take-out,Counter-clockwise,100,top,2,2,-1.069,-0.978,1.449,-137.6,12,,,-0.739,1.929,2.066,111.0,2,-0.732,1.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,-0.817,0.848,-105.7,13,,,0.017,2.235,2.235,89.6,1,0.018,2.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,14,SUI,7,PAETZ A,Hit and Roll,Clockwise,75,top,3,1,-1.061,-0.969,1.437,-137.6,12,-1.069,-0.978,-0.134,-0.662,0.675,-101.4,14,,,-0.732,1.938,2.071,110.7,2,-0.739,1.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.243,2.244,89.5,1,0.017,2.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,15,SWE,8,HASSELBORG A,Hit and Roll,Clockwise,75,top,2,2,-1.06,-0.969,1.436,-137.6,12,-1.061,-0.969,-0.73,1.938,2.071,110.7,2,-0.732,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.183,-0.5,0.533,-110.1,15,,,0.026,2.244,2.244,89.3,1,0.018,2.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,16,SUI,7,PAETZ A,Clearing,Clockwise,100,top,1,1,-0.732,1.938,2.071,110.7,2,-0.73,1.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,2.243,2.244,89.5,1,0.026,2.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
