tournament_name,year,location,gender,result_book_url,result_summary_url
Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",m,https://curlit.com/PDF/PRE-OQE2021_ResultsBook_Men.pdf,https://curlit.com/PDF/PRE-OQE2021_ResultsSummary_Men.pdf
Pre-Olympic Qualification Event 2021,2021,"Erzurum, Turkey",w,https://curlit.com/PDF/PRE-OQE2021_ResultsBook_Women.pdf?v=2,https://curlit.com/PDF/PRE-OQE2021_ResultsSummary_Women.pdf?v=2
European Curling Championships 2021 C-Division,2021,"Geneva, Switzerland",m,https://curlit.com/PDF/ECCC2021_ResultsBook_Men.pdf,https://curlit.com/PDF/ECCC2021_ResultsSummary_Men.pdf
European Curling Championships 2021 C-Division,2021,"Geneva, Switzerland",w,https://curlit.com/PDF/ECCC2021_ResultsBook_Women.pdf,https://curlit.com/PDF/ECCC2021_ResultsSummary_Women.pdf
World Mixed Doubles Curling Championship 2021,2021,"Aberdeen, Scotland",mxd,https://curlit.com/PDF/WMDCC2021_ResultsBook.pdf,https://curlit.com/PDF/WMDCC2021_ResultsSummary.pdf
World Women's Curling Championship 2021,2021,"Calgary, AB, Canada",w,https://curlit.com/PDF/WWCC2021_ResultsBook.pdf,https://curlit.com/PDF/WWCC2021_ResultsSummary.pdf
World Men's Curling Championship 2021,2021,"Calgary, AB, Canada",m,https://curlit.com/PDF/WMCC2021_ResultsBook.pdf,https://curlit.com/PDF/WMCC2021_ResultsSummary.pdf?v=2
World Wheelchair-B Curling Championship 2020/2021,2020,"Lohja, Finland",,https://curlit.com/PDF/WWhBCC2020_ResultsBook.pdf,https://curlit.com/PDF/WWhBCC2020_ResultsSummary.pdf
World Wheelchair Curling Championship 2020,2020,"Wetzikon, Switzerland",,https://curlit.com/PDF/WWhCC2020_ResultsBook.pdf,https://curlit.com/PDF/WWhCC2020_ResultsSummary.pdf
World Junior Curling Championships 2020,2020,"Krasnoyarsk, Russia",m,https://curlit.com/PDF/WJCC2020_ResultsBook_Men.pdf,https://curlit.com/PDF/WJCC2020_ResultsSummary_Men.pdf
World Junior Curling Championships 2020,2020,"Krasnoyarsk, Russia",w,https://curlit.com/PDF/WJCC2020_ResultsBook_Women.pdf,https://curlit.com/PDF/WJCC2020_ResultsSummary_Women.pdf
World Qualification Event 2020,2020,"Lohja, Finland",m,https://curlit.com/PDF/WQE2020_ResultsBook_Men.pdf,https://curlit.com/PDF/WQE2020_ResultsSummary_Men.pdf
World Qualification Event 2020,2020,"Lohja, Finland",w,https://curlit.com/PDF/WQE2020_ResultsBook_Women.pdf,https://curlit.com/PDF/WQE2020_ResultsSummary_Women.pdf
Winter Youth Olympic Games 2020,2020,"Lausanne/Champery, Switzerland",,https://curlit.com/PDF/YOG2020_Resultsbook.pdf,
World Junior-B Curling Championships 2019-20,2019,"Lohja, Finland",m,https://curlit.com/PDF/WJBCC2019-2020_ResultsBook_Men.pdf,https://curlit.com/PDF/WJBCC2019-2020_ResultsSummary_Men.pdf
World Junior-B Curling Championships 2019-20,2019,"Lohja, Finland",w,https://curlit.com/PDF/WJBCC2019-2020_ResultsBook_Women.pdf,https://curlit.com/PDF/WJBCC2019-2020_ResultsSummary_Women.pdf
World Mixed Doubles Qualification Event 2019,2019,"Greenacres, Scotland",mxd,https://curlit.com/PDF/WMDQE2019_ResultsBook.pdf,https://curlit.com/PDF/WMDQE2019_ResultsSummary.pdf
World Wheelchair-B Curling Championship 2019,2019,"Lohja, Finland",,https://curlit.com/PDF/WWhBCC2019_ResultsBook.pdf,https://curlit.com/PDF/WWhBCC2019_ResultsSummary.pdf
European Curling Championships 2019 A-Division,2019,"Helsingborg, Sweden",m,https://curlit.com/PDF/ECC2019_ResultsBook_Men_A-Division.pdf,https://curlit.com/PDF/ECC2019_ResultsSummary_Men_A-Division.pdf
European Curling Championships 2019 A-Division,2019,"Helsingborg, Sweden",w,https://curlit.com/PDF/ECC2019_ResultsBook_Women_A-Division.pdf,https://curlit.com/PDF/ECC2019_ResultsSummary_Women_A-Division.pdf
